,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
,,X,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr
0,X,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,H,nan,1,0,0.021,0,0,0,0,0.069,0.23,0,0.019,0,0,0,0,0,0.066,0,0.015,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0.039,0,0.015,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0.057,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,He,nan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,Li,nan,0.021,0,1,0,0,0,0,0,0,0,0.259,0.031,0.005,0,0,0,0,0,0.052,0.012,0.007,0,0,0,0.012,0.006,0.006,0.01,0.016,0.01,0.004,0,0,0,0,0,0.035,0.005,0.005,0.007,0,0,0,0,0,0.009,0.017,0.008,0,0,0,0,0,0,0.024,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,Be,nan,0,0,0,1,0.026,0,0,0,0,0,0,0.026,0.013,0.006,0,0,0,0,0,0.009,0.005,0.011,0,0.008,0.012,0.01,0.017,0.007,0.01,0.04,0.013,0,0,0,0,0,0,0.006,0.004,0.013,0,0,0,0,0,0,0,0.017,0.006,0.008,0,0,0,0,0,0.007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009,0,0,0,0,0,0.007,0,0.019,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,B,nan,0,0,0,0.026,1,0.194,0.029,0.012,0,0,0,0,0.016,0.073,0.034,0.006,0,0,0,0,0,0,0,0,0,0.004,0.016,0.004,0,0,0.045,0.03,0.016,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.009,0.009,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.008,0,0,0.015,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,C,nan,0,0,0,0,0.194,1,0.188,0.075,0,0,0,0,0,0.024,0.031,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0.016,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0.007,0.019,0.014,0.012,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0.02,0,0,0,0.013,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,N,nan,0,0,0,0,0.029,0.188,1,0.085,0,0,0,0,0,0,0.099,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.092,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074,0.052,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.043,0.041,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,O,nan,0.069,0,0,0,0.012,0.075,0.085,1,0.034,0,0,0.005,0,0,0.029,0.127,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0.086,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.069,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0.004,0,0,0,0,0.015,0.035,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,F,nan,0.23,0,0,0,0,0,0,0.034,1,0,0,0,0,0,0,0.021,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,Ne,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,Na,nan,0.019,0,0.259,0,0,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0.225,0.015,0,0,0,0,0.004,0.003,0,0.003,0.008,0.005,0,0,0,0,0,0,0.091,0.01,0.003,0,0,0,0,0,0,0,0.045,0.006,0.003,0,0,0,0,0,0.05,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0.022,0.004,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,Mg,nan,0,0,0.031,0.026,0,0,0,0.005,0,0,0.01,1,0.021,0.004,0,0.006,0,0,0,0.036,0.016,0.012,0.011,0.004,0.063,0.049,0.047,0.046,0.024,0.084,0.002,0.002,0,0,0,0,0,0.014,0.006,0.008,0.006,0,0,0.011,0.012,0.009,0.021,0.087,0.021,0.007,0,0,0,0,0,0.008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007,0.006,0,0,0.008,0.01,0.007,0.012,0.028,0.013,0.006,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,Al,nan,0,0,0.005,0.013,0.016,0,0,0,0,0,0,0.021,1,0.023,0,0.01,0,0,0,0,0.017,0.015,0.02,0.032,0.022,0.059,0.026,0.025,0.011,0.026,0.201,0.019,0,0,0,0,0,0,0.006,0.008,0.004,0.005,0,0.01,0.027,0.016,0.012,0.015,0.104,0.049,0.012,0.003,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007,0.003,0,0.005,0.011,0.029,0.026,0.012,0.012,0.036,0.021,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,Si,nan,0,0,0,0.006,0.073,0.024,0,0,0,0,0,0.004,0.023,1,0.055,0,0,0,0,0,0.002,0.017,0.005,0.004,0.006,0.006,0.008,0.011,0.005,0.006,0.045,0.437,0.032,0,0,0,0,0,0,0.006,0,0,0,0.006,0.014,0.011,0.004,0.008,0.011,0.08,0.023,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004,0,0,0,0.006,0.015,0.018,0.016,0.009,0.009,0.037,0.009,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,P,nan,0,0,0,0,0.034,0.031,0.099,0.029,0,0,0,0,0,0.055,1,0.043,0,0,0,0,0,0,0.031,0.011,0,0,0,0,0,0.006,0,0.056,0.344,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.114,0.036,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0.047,0.028,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,S,nan,0,0,0,0,0.006,0.021,0.056,0.127,0.021,0,0,0.006,0.01,0,0.043,1,0.004,0,0,0.002,0,0,0,0.008,0.005,0.007,0.007,0.007,0,0.003,0,0.003,0.041,0.452,0.004,0,0,0,0,0,0,0.004,0,0.003,0.008,0,0,0.003,0.003,0.005,0.04,0.168,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0.01,0.008,0,0.004,0,0.003,0.016,0.054,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,Cl,nan,0.066,0,0,0,0,0,0,0.017,0.148,0,0,0,0,0,0,0.004,1,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,Ar,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,K,nan,0.015,0,0.052,0,0,0,0,0,0,0,0.225,0,0,0,0,0,0,0,1,0.005,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0.391,0.009,0,0,0,0,0,0,0,0,0.015,0,0.004,0,0,0,0,0,0.24,0.018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0.091,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,Ca,nan,0,0,0.012,0.009,0,0,0,0,0,0,0.015,0.036,0,0,0,0.002,0,0,0.005,1,0.008,0.002,0,0,0.014,0.01,0.006,0.007,0.003,0.011,0,0,0,0.002,0,0,0,0.161,0.02,0.005,0.002,0,0,0,0,0.002,0,0.041,0.002,0.005,0,0,0,0,0.004,0.091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,0.003,0,0,0,0,0,0,0.015,0,0.02,0.004,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,Sc,nan,0,0,0.007,0.005,0,0,0,0,0,0,0,0.016,0.017,0.002,0,0,0,0,0,0.008,1,0.038,0.02,0.018,0.022,0.012,0.005,0.006,0.003,0.006,0.012,0,0,0.002,0,0,0,0.008,0.039,0.047,0.023,0.009,0,0,0.004,0.004,0.004,0.003,0.028,0.006,0,0.002,0,0,0,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.037,0.02,0.005,0,0,0,0.004,0.003,0,0.008,0.004,0.003,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,Ti,nan,0,0,0,0.011,0,0,0,0,0,0,0,0.012,0.015,0.017,0,0,0,0,0,0.002,0.038,1,0.085,0.045,0.045,0.034,0.019,0.016,0.008,0.007,0,0.011,0,0.012,0,0,0,0.002,0.01,0.085,0.058,0.035,0.016,0.022,0.012,0.008,0.005,0.002,0.01,0.03,0,0.003,0,0,0,0.003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.073,0.043,0.01,0.009,0.003,0.007,0.012,0.003,0.003,0,0.008,0.004,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,V,nan,0,0,0,0,0,0,0,0,0,0,0,0.011,0.02,0.005,0.031,0,0,0,0,0,0.02,0.085,1,0.104,0.042,0.05,0.026,0.02,0.005,0.01,0.014,0,0.015,0,0,0,0,0.002,0.005,0.025,0.074,0.051,0,0.01,0.014,0.006,0.005,0.004,0.013,0.008,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.026,0.062,0.025,0.006,0,0.007,0.006,0.003,0,0.004,0.004,0.004,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,Cr,nan,0,0,0,0.008,0,0,0,0,0,0,0,0.004,0.032,0.004,0.011,0.008,0,0,0,0,0.018,0.045,0.104,1,0.058,0.079,0.041,0.028,0.031,0.006,0.025,0.004,0.008,0.008,0,0,0,0,0.006,0.012,0.029,0.047,0.01,0.025,0.036,0.021,0.009,0,0.021,0.007,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,0.022,0.035,0.016,0.023,0.013,0.015,0.012,0,0,0,0.003,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,Mn,nan,0,0,0.012,0.012,0,0,0,0,0,0,0.004,0.063,0.022,0.006,0,0.005,0.003,0,0,0.014,0.022,0.045,0.042,0.058,1,0.115,0.085,0.063,0.047,0.072,0.01,0.006,0,0,0,0,0.002,0.004,0.008,0.015,0.024,0.014,0.01,0.041,0.027,0.022,0.016,0.057,0.008,0.007,0,0.002,0,0,0.003,0.004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.018,0.015,0.008,0.019,0.027,0.019,0.019,0.012,0.018,0.003,0.006,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,Fe,nan,0,0,0.006,0.01,0.004,0,0,0,0,0,0.003,0.049,0.059,0.006,0,0.007,0,0,0,0.01,0.012,0.034,0.05,0.079,0.115,1,0.143,0.103,0.057,0.046,0.039,0,0,0,0,0,0,0.001,0.005,0.005,0.007,0.019,0.01,0.06,0.049,0.028,0.01,0.023,0.015,0.002,0,0,0,0,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005,0.007,0.011,0.008,0.037,0.029,0.029,0.013,0.007,0.004,0.003,0.003,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,Co,nan,0,0,0.006,0.017,0.016,0,0,0,0,0,0,0.047,0.026,0.008,0,0.007,0,0,0,0.006,0.005,0.019,0.026,0.041,0.085,0.143,1,0.181,0.06,0.068,0.011,0.004,0,0,0,0,0,0.002,0.003,0.003,0.003,0.014,0.008,0.075,0.079,0.045,0.01,0.022,0.007,0.002,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.002,0.006,0.006,0.037,0.053,0.039,0.018,0.008,0,0.003,0.002,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,Ni,nan,0,0,0.01,0.007,0.004,0,0,0,0,0,0.003,0.046,0.025,0.011,0,0.007,0,0,0,0.007,0.006,0.016,0.02,0.028,0.063,0.103,0.181,1,0.101,0.061,0.015,0.008,0,0.002,0,0,0,0.003,0.003,0.005,0.005,0.011,0.007,0.053,0.07,0.107,0.016,0.019,0.007,0.004,0.002,0,0,0,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,0.004,0.005,0.005,0.029,0.043,0.077,0.037,0.009,0,0.002,0.002,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,Cu,nan,0.011,0,0.016,0.01,0,0,0,0,0,0,0.008,0.024,0.011,0.005,0,0,0,0,0.007,0.003,0.003,0.008,0.005,0.031,0.047,0.057,0.06,0.101,1,0.05,0.006,0.005,0,0,0,0,0.009,0,0.002,0.003,0.003,0.003,0,0.025,0.043,0.079,0.125,0.021,0.006,0,0,0,0,0,0.003,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.017,0.02,0.035,0.111,0.017,0.006,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,Zn,nan,0,0,0.01,0.04,0,0,0.01,0,0,0,0.005,0.084,0.026,0.006,0.006,0.003,0,0,0,0.011,0.006,0.007,0.01,0.006,0.072,0.046,0.068,0.061,0.05,1,0.013,0.007,0.006,0.003,0,0,0,0.004,0.004,0.003,0,0,0,0.007,0.014,0.015,0.022,0.101,0.016,0.014,0.004,0.005,0,0,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.003,0,0,0.006,0.013,0.01,0.011,0.047,0.015,0.004,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,Ga,nan,0,0,0.004,0.013,0.045,0,0,0,0,0,0,0.002,0.201,0.045,0,0,0,0,0,0,0.012,0,0.014,0.025,0.01,0.039,0.011,0.015,0.006,0.013,1,0.043,0.003,0,0,0,0,0,0.004,0.005,0.003,0.006,0,0.003,0.018,0.018,0.01,0.009,0.116,0.056,0.013,0,0,0,0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003,0,0,0,0.003,0.016,0.02,0.017,0.015,0.042,0.027,0.004,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,Ge,nan,0,0,0,0,0.03,0.016,0,0,0,0,0,0.002,0.019,0.437,0.056,0.003,0,0,0,0,0,0.011,0,0.004,0.006,0,0.004,0.008,0.005,0.007,0.043,1,0.041,0.003,0,0,0,0,0,0.003,0,0,0,0.006,0.014,0.017,0.005,0.006,0.019,0.116,0.034,0.003,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003,0,0,0,0.004,0.013,0.017,0.02,0.006,0.012,0.043,0.016,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,As,nan,0,0,0,0,0.016,0.016,0.092,0.031,0,0,0,0,0,0.032,0.344,0.041,0,0,0,0,0,0,0.015,0.008,0,0,0,0,0,0.006,0.003,0.041,1,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.014,0.198,0.045,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0.003,0,0,0.005,0.095,0.026,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
